Unnamed: 0,active,empty,lat,lng,time,in_use,name,id,total,date,timestamp,week,Precp,RH,WS,temp
63,1,30,25.038954,121.52233400000001,2016-04-01 13:39:35,12,仁愛林森路口,56,42,2016-04-01,13:39:35,4,0.0,64.0,2.8,23.4
288,1,28,25.038954,121.52233400000001,2016-04-01 13:44:35,14,仁愛林森路口,56,42,2016-04-01,13:44:35,4,0.0,64.0,2.8,23.4
512,1,26,25.038954,121.52233400000001,2016-04-01 13:49:35,16,仁愛林森路口,56,42,2016-04-01,13:49:35,4,0.0,64.0,2.8,23.4
736,1,22,25.038954,121.52233400000001,2016-04-01 13:54:35,20,仁愛林森路口,56,42,2016-04-01,13:54:35,4,0.0,64.0,2.8,23.4
960,1,22,25.038954,121.52233400000001,2016-04-01 13:59:35,20,仁愛林森路口,56,42,2016-04-01,13:59:35,4,0.0,64.0,2.8,23.4
1184,1,23,25.038954,121.52233400000001,2016-04-01 14:04:35,19,仁愛林森路口,56,42,2016-04-01,14:04:35,4,0.0,64.0,4.1,22.9
1408,1,23,25.038954,121.52233400000001,2016-04-01 14:09:35,19,仁愛林森路口,56,42,2016-04-01,14:09:35,4,0.0,64.0,4.1,22.9
1632,1,25,25.038954,121.52233400000001,2016-04-01 14:14:35,17,仁愛林森路口,56,42,2016-04-01,14:14:35,4,0.0,64.0,4.1,22.9
1855,1,26,25.038954,121.52233400000001,2016-04-01 14:19:35,16,仁愛林森路口,56,42,2016-04-01,14:19:35,4,0.0,64.0,4.1,22.9
2078,1,25,25.038954,121.52233400000001,2016-04-01 14:24:35,17,仁愛林森路口,56,42,2016-04-01,14:24:35,4,0.0,64.0,4.1,22.9
2282,1,22,25.038954,121.52233400000001,2016-04-01 14:29:35,20,仁愛林森路口,56,42,2016-04-01,14:29:35,4,0.0,64.0,4.1,22.9
2433,1,20,25.038954,121.52233400000001,2016-04-01 14:34:35,22,仁愛林森路口,56,42,2016-04-01,14:34:35,4,0.0,64.0,4.1,22.9
2567,1,27,25.038954,121.52233400000001,2016-04-01 14:39:35,15,仁愛林森路口,56,42,2016-04-01,14:39:35,4,0.0,64.0,4.1,22.9
2700,1,18,25.038954,121.52233400000001,2016-04-01 14:44:35,24,仁愛林森路口,56,42,2016-04-01,14:44:35,4,0.0,64.0,4.1,22.9
2833,1,17,25.038954,121.52233400000001,2016-04-01 14:49:35,25,仁愛林森路口,56,42,2016-04-01,14:49:35,4,0.0,64.0,4.1,22.9
6770,1,2,25.038954,121.52233400000001,2016-04-01 17:04:17,40,仁愛林森路口,56,42,2016-04-01,17:04:17,4,0.0,65.0,3.3,22.0
6939,1,5,25.038954,121.52233400000001,2016-04-01 17:09:16,37,仁愛林森路口,56,42,2016-04-01,17:09:16,4,0.0,65.0,3.3,22.0
7094,1,8,25.038954,121.52233400000001,2016-04-01 17:14:16,34,仁愛林森路口,56,42,2016-04-01,17:14:16,4,0.0,65.0,3.3,22.0
7258,1,7,25.038954,121.52233400000001,2016-04-01 17:19:16,35,仁愛林森路口,56,42,2016-04-01,17:19:16,4,0.0,65.0,3.3,22.0
7426,1,6,25.038954,121.52233400000001,2016-04-01 17:24:16,36,仁愛林森路口,56,42,2016-04-01,17:24:16,4,0.0,65.0,3.3,22.0
7592,1,9,25.038954,121.52233400000001,2016-04-01 17:29:16,33,仁愛林森路口,56,42,2016-04-01,17:29:16,4,0.0,65.0,3.3,22.0
7751,1,11,25.038954,121.52233400000001,2016-04-01 17:34:16,31,仁愛林森路口,56,42,2016-04-01,17:34:16,4,0.0,65.0,3.3,22.0
7905,1,13,25.038954,121.52233400000001,2016-04-01 17:39:16,29,仁愛林森路口,56,42,2016-04-01,17:39:16,4,0.0,65.0,3.3,22.0
8068,1,14,25.038954,121.52233400000001,2016-04-01 17:44:16,27,仁愛林森路口,56,42,2016-04-01,17:44:16,4,0.0,65.0,3.3,22.0
8237,1,13,25.038954,121.52233400000001,2016-04-01 17:49:16,28,仁愛林森路口,56,42,2016-04-01,17:49:16,4,0.0,65.0,3.3,22.0
8400,1,19,25.038954,121.52233400000001,2016-04-01 17:54:24,22,仁愛林森路口,56,42,2016-04-01,17:54:24,4,0.0,65.0,3.3,22.0
8568,1,17,25.038954,121.52233400000001,2016-04-01 17:59:16,25,仁愛林森路口,56,42,2016-04-01,17:59:16,4,0.0,65.0,3.3,22.0
8738,1,17,25.038954,121.52233400000001,2016-04-01 18:04:16,24,仁愛林森路口,56,42,2016-04-01,18:04:16,4,0.0,67.0,3.0,21.7
8891,1,20,25.038954,121.52233400000001,2016-04-01 18:09:16,21,仁愛林森路口,56,42,2016-04-01,18:09:16,4,0.0,67.0,3.0,21.7
9063,1,25,25.038954,121.52233400000001,2016-04-01 18:14:16,16,仁愛林森路口,56,42,2016-04-01,18:14:16,4,0.0,67.0,3.0,21.7
9235,1,30,25.038954,121.52233400000001,2016-04-01 18:19:16,11,仁愛林森路口,56,42,2016-04-01,18:19:16,4,0.0,67.0,3.0,21.7
9405,1,31,25.038954,121.52233400000001,2016-04-01 18:24:16,10,仁愛林森路口,56,42,2016-04-01,18:24:16,4,0.0,67.0,3.0,21.7
9571,1,18,25.038954,121.52233400000001,2016-04-01 18:29:15,23,仁愛林森路口,56,42,2016-04-01,18:29:15,4,0.0,67.0,3.0,21.7
9742,1,13,25.038954,121.52233400000001,2016-04-01 18:34:16,28,仁愛林森路口,56,42,2016-04-01,18:34:16,4,0.0,67.0,3.0,21.7
9902,1,14,25.038954,121.52233400000001,2016-04-01 18:39:16,27,仁愛林森路口,56,42,2016-04-01,18:39:16,4,0.0,67.0,3.0,21.7
10062,1,15,25.038954,121.52233400000001,2016-04-01 18:44:15,26,仁愛林森路口,56,42,2016-04-01,18:44:15,4,0.0,67.0,3.0,21.7
10232,1,18,25.038954,121.52233400000001,2016-04-01 18:49:16,23,仁愛林森路口,56,42,2016-04-01,18:49:16,4,0.0,67.0,3.0,21.7
10397,1,20,25.038954,121.52233400000001,2016-04-01 18:54:16,21,仁愛林森路口,56,42,2016-04-01,18:54:16,4,0.0,67.0,3.0,21.7
10570,1,22,25.038954,121.52233400000001,2016-04-01 18:59:16,19,仁愛林森路口,56,42,2016-04-01,18:59:16,4,0.0,67.0,3.0,21.7
10736,1,21,25.038954,121.52233400000001,2016-04-01 19:04:16,20,仁愛林森路口,56,42,2016-04-01,19:04:16,4,0.0,69.0,2.7,21.4
10912,1,23,25.038954,121.52233400000001,2016-04-01 19:09:16,18,仁愛林森路口,56,42,2016-04-01,19:09:16,4,0.0,69.0,2.7,21.4
11065,1,27,25.038954,121.52233400000001,2016-04-01 19:14:16,14,仁愛林森路口,56,42,2016-04-01,19:14:16,4,0.0,69.0,2.7,21.4
11385,1,28,25.038954,121.52233400000001,2016-04-01 19:24:16,13,仁愛林森路口,56,42,2016-04-01,19:24:16,4,0.0,69.0,2.7,21.4
11544,1,32,25.038954,121.52233400000001,2016-04-01 19:29:16,9,仁愛林森路口,56,42,2016-04-01,19:29:16,4,0.0,69.0,2.7,21.4
11702,1,35,25.038954,121.52233400000001,2016-04-01 19:34:16,6,仁愛林森路口,56,42,2016-04-01,19:34:16,4,0.0,69.0,2.7,21.4
11853,1,36,25.038954,121.52233400000001,2016-04-01 19:39:16,5,仁愛林森路口,56,42,2016-04-01,19:39:16,4,0.0,69.0,2.7,21.4
12158,1,35,25.038954,121.52233400000001,2016-04-01 19:49:16,6,仁愛林森路口,56,42,2016-04-01,19:49:16,4,0.0,69.0,2.7,21.4
12476,1,34,25.038954,121.52233400000001,2016-04-01 19:59:17,7,仁愛林森路口,56,42,2016-04-01,19:59:17,4,0.0,69.0,2.7,21.4
12621,1,33,25.038954,121.52233400000001,2016-04-01 20:04:16,8,仁愛林森路口,56,42,2016-04-01,20:04:16,4,0.0,70.0,2.1,21.4
12754,1,35,25.038954,121.52233400000001,2016-04-01 20:09:16,6,仁愛林森路口,56,42,2016-04-01,20:09:16,4,0.0,70.0,2.1,21.4
12905,1,36,25.038954,121.52233400000001,2016-04-01 20:14:16,5,仁愛林森路口,56,42,2016-04-01,20:14:16,4,0.0,70.0,2.1,21.4
13199,1,38,25.038954,121.52233400000001,2016-04-01 20:23:16,3,仁愛林森路口,56,42,2016-04-01,20:23:16,4,0.0,70.0,2.1,21.4
13335,1,39,25.038954,121.52233400000001,2016-04-01 20:29:16,2,仁愛林森路口,56,42,2016-04-01,20:29:16,4,0.0,70.0,2.1,21.4
13617,1,41,25.038954,121.52233400000001,2016-04-01 20:39:16,0,仁愛林森路口,56,42,2016-04-01,20:39:16,4,0.0,70.0,2.1,21.4
13749,1,40,25.038954,121.52233400000001,2016-04-01 20:44:16,1,仁愛林森路口,56,42,2016-04-01,20:44:16,4,0.0,70.0,2.1,21.4
13893,1,39,25.038954,121.52233400000001,2016-04-01 20:49:23,2,仁愛林森路口,56,42,2016-04-01,20:49:23,4,0.0,70.0,2.1,21.4
14040,1,41,25.038954,121.52233400000001,2016-04-01 20:54:16,0,仁愛林森路口,56,42,2016-04-01,20:54:16,4,0.0,70.0,2.1,21.4
14184,1,39,25.038954,121.52233400000001,2016-04-01 20:59:16,2,仁愛林森路口,56,42,2016-04-01,20:59:16,4,0.0,70.0,2.1,21.4
14322,1,38,25.038954,121.52233400000001,2016-04-01 21:04:16,3,仁愛林森路口,56,42,2016-04-01,21:04:16,4,0.0,71.0,1.4,21.2
14478,1,40,25.038954,121.52233400000001,2016-04-01 21:09:16,1,仁愛林森路口,56,42,2016-04-01,21:09:16,4,0.0,71.0,1.4,21.2
14626,1,39,25.038954,121.52233400000001,2016-04-01 21:14:16,2,仁愛林森路口,56,42,2016-04-01,21:14:16,4,0.0,71.0,1.4,21.2
14770,1,38,25.038954,121.52233400000001,2016-04-01 21:19:16,3,仁愛林森路口,56,42,2016-04-01,21:19:16,4,0.0,71.0,1.4,21.2
14907,1,37,25.038954,121.52233400000001,2016-04-01 21:24:16,4,仁愛林森路口,56,42,2016-04-01,21:24:16,4,0.0,71.0,1.4,21.2
15188,1,36,25.038954,121.52233400000001,2016-04-01 21:34:16,5,仁愛林森路口,56,42,2016-04-01,21:34:16,4,0.0,71.0,1.4,21.2
15340,1,32,25.038954,121.52233400000001,2016-04-01 21:39:16,9,仁愛林森路口,56,42,2016-04-01,21:39:16,4,0.0,71.0,1.4,21.2
15636,1,31,25.038954,121.52233400000001,2016-04-01 21:49:16,10,仁愛林森路口,56,42,2016-04-01,21:49:16,4,0.0,71.0,1.4,21.2
15923,1,30,25.038954,121.52233400000001,2016-04-01 21:59:16,11,仁愛林森路口,56,42,2016-04-01,21:59:16,4,0.0,71.0,1.4,21.2
16067,1,31,25.038954,121.52233400000001,2016-04-01 22:04:16,10,仁愛林森路口,56,42,2016-04-01,22:04:16,4,0.0,73.0,0.9,21.0
16224,1,35,25.038954,121.52233400000001,2016-04-01 22:09:16,6,仁愛林森路口,56,42,2016-04-01,22:09:16,4,0.0,73.0,0.9,21.0
16375,1,31,25.038954,121.52233400000001,2016-04-01 22:14:16,10,仁愛林森路口,56,42,2016-04-01,22:14:16,4,0.0,73.0,0.9,21.0
16515,1,30,25.038954,121.52233400000001,2016-04-01 22:19:16,11,仁愛林森路口,56,42,2016-04-01,22:19:16,4,0.0,73.0,0.9,21.0
16660,1,32,25.038954,121.52233400000001,2016-04-01 22:24:16,9,仁愛林森路口,56,42,2016-04-01,22:24:16,4,0.0,73.0,0.9,21.0
17087,1,30,25.038954,121.52233400000001,2016-04-01 22:39:16,11,仁愛林森路口,56,42,2016-04-01,22:39:16,4,0.0,73.0,0.9,21.0
17227,1,27,25.038954,121.52233400000001,2016-04-01 22:44:15,14,仁愛林森路口,56,42,2016-04-01,22:44:15,4,0.0,73.0,0.9,21.0
17630,1,26,25.038954,121.52233400000001,2016-04-01 22:59:16,15,仁愛林森路口,56,42,2016-04-01,22:59:16,4,0.0,73.0,0.9,21.0
17756,1,25,25.038954,121.52233400000001,2016-04-01 23:04:16,16,仁愛林森路口,56,42,2016-04-01,23:04:16,4,0.0,73.0,0.7,21.0
17872,1,24,25.038954,121.52233400000001,2016-04-01 23:09:17,17,仁愛林森路口,56,42,2016-04-01,23:09:17,4,0.0,73.0,0.7,21.0
17994,1,22,25.038954,121.52233400000001,2016-04-01 23:14:16,19,仁愛林森路口,56,42,2016-04-01,23:14:16,4,0.0,73.0,0.7,21.0
18102,1,21,25.038954,121.52233400000001,2016-04-01 23:19:16,20,仁愛林森路口,56,42,2016-04-01,23:19:16,4,0.0,73.0,0.7,21.0
18217,1,22,25.038954,121.52233400000001,2016-04-01 23:24:22,19,仁愛林森路口,56,42,2016-04-01,23:24:22,4,0.0,73.0,0.7,21.0
18558,1,20,25.038954,121.52233400000001,2016-04-01 23:39:16,21,仁愛林森路口,56,42,2016-04-01,23:39:16,4,0.0,73.0,0.7,21.0
18777,1,23,25.038954,121.52233400000001,2016-04-01 23:49:15,18,仁愛林森路口,56,42,2016-04-01,23:49:15,4,0.0,73.0,0.7,21.0
18895,1,26,25.038954,121.52233400000001,2016-04-01 23:54:16,15,仁愛林森路口,56,42,2016-04-01,23:54:16,4,0.0,73.0,0.7,21.0
19012,1,25,25.038954,121.52233400000001,2016-04-01 23:59:16,16,仁愛林森路口,56,42,2016-04-01,23:59:16,4,0.0,73.0,0.7,21.0
19421,1,26,25.038954,121.52233400000001,2016-04-02 00:19:16,15,仁愛林森路口,56,42,2016-04-02,00:19:16,5,0.0,75.0,0.1,20.6
19514,1,25,25.038954,121.52233400000001,2016-04-02 00:24:16,16,仁愛林森路口,56,42,2016-04-02,00:24:16,5,0.0,75.0,0.1,20.6
19700,1,24,25.038954,121.52233400000001,2016-04-02 00:34:16,17,仁愛林森路口,56,42,2016-04-02,00:34:16,5,0.0,75.0,0.1,20.6
19803,1,23,25.038954,121.52233400000001,2016-04-02 00:39:16,18,仁愛林森路口,56,42,2016-04-02,00:39:16,5,0.0,75.0,0.1,20.6
20339,1,22,25.038954,121.52233400000001,2016-04-02 01:09:16,19,仁愛林森路口,56,42,2016-04-02,01:09:16,5,0.0,78.0,0.0,19.9
20499,1,21,25.038954,121.52233400000001,2016-04-02 01:19:16,20,仁愛林森路口,56,42,2016-04-02,01:19:16,5,0.0,78.0,0.0,19.9
20572,1,20,25.038954,121.52233400000001,2016-04-02 01:24:16,21,仁愛林森路口,56,42,2016-04-02,01:24:16,5,0.0,78.0,0.0,19.9
21054,1,21,25.038954,121.52233400000001,2016-04-02 02:04:16,20,仁愛林森路口,56,42,2016-04-02,02:04:16,5,0.0,79.0,0.1,19.6
21146,1,20,25.038954,121.52233400000001,2016-04-02 02:14:17,21,仁愛林森路口,56,42,2016-04-02,02:14:17,5,0.0,79.0,0.1,19.6
21197,1,19,25.038954,121.52233400000001,2016-04-02 02:19:18,22,仁愛林森路口,56,42,2016-04-02,02:19:18,5,0.0,79.0,0.1,19.6
21789,1,18,25.038954,121.52233400000001,2016-04-02 03:39:24,23,仁愛林森路口,56,42,2016-04-02,03:39:24,5,0.0,78.0,1.2,20.1
21909,1,17,25.038954,121.52233400000001,2016-04-02 03:59:18,24,仁愛林森路口,56,42,2016-04-02,03:59:18,5,0.0,78.0,1.2,20.1
22019,1,18,25.038954,121.52233400000001,2016-04-02 04:19:23,23,仁愛林森路口,56,42,2016-04-02,04:19:23,5,0.0,76.0,0.9,20.4
22042,1,19,25.038954,121.52233400000001,2016-04-02 04:23:16,22,仁愛林森路口,56,42,2016-04-02,04:23:16,5,0.0,76.0,0.9,20.4
22245,1,18,25.038954,121.52233400000001,2016-04-02 04:54:16,23,仁愛林森路口,56,42,2016-04-02,04:54:16,5,0.0,76.0,0.9,20.4
23669,1,16,25.038954,121.52233400000001,2016-04-02 07:04:16,25,仁愛林森路口,56,42,2016-04-02,07:04:16,5,0.0,79.0,1.1,19.9
23737,1,17,25.038954,121.52233400000001,2016-04-02 07:09:16,24,仁愛林森路口,56,42,2016-04-02,07:09:16,5,0.0,79.0,1.1,19.9
23817,1,18,25.038954,121.52233400000001,2016-04-02 07:14:16,23,仁愛林森路口,56,42,2016-04-02,07:14:16,5,0.0,79.0,1.1,19.9
23901,1,19,25.038954,121.52233400000001,2016-04-02 07:19:16,22,仁愛林森路口,56,42,2016-04-02,07:19:16,5,0.0,79.0,1.1,19.9
24077,1,20,25.038954,121.52233400000001,2016-04-02 07:29:16,21,仁愛林森路口,56,42,2016-04-02,07:29:16,5,0.0,79.0,1.1,19.9
24163,1,21,25.038954,121.52233400000001,2016-04-02 07:34:16,20,仁愛林森路口,56,42,2016-04-02,07:34:16,5,0.0,79.0,1.1,19.9
24272,1,23,25.038954,121.52233400000001,2016-04-02 07:39:16,18,仁愛林森路口,56,42,2016-04-02,07:39:16,5,0.0,79.0,1.1,19.9
24367,1,24,25.038954,121.52233400000001,2016-04-02 07:44:16,17,仁愛林森路口,56,42,2016-04-02,07:44:16,5,0.0,79.0,1.1,19.9
24581,1,22,25.038954,121.52233400000001,2016-04-02 07:54:16,19,仁愛林森路口,56,42,2016-04-02,07:54:16,5,0.0,79.0,1.1,19.9
24696,1,23,25.038954,121.52233400000001,2016-04-02 07:59:16,18,仁愛林森路口,56,42,2016-04-02,07:59:16,5,0.0,79.0,1.1,19.9
24912,1,25,25.038954,121.52233400000001,2016-04-02 08:09:16,16,仁愛林森路口,56,42,2016-04-02,08:09:16,5,0.0,74.0,1.6,21.9
25358,1,27,25.038954,121.52233400000001,2016-04-02 08:29:16,14,仁愛林森路口,56,42,2016-04-02,08:29:16,5,0.0,74.0,1.6,21.9
25608,1,28,25.038954,121.52233400000001,2016-04-02 08:39:16,13,仁愛林森路口,56,42,2016-04-02,08:39:16,5,0.0,74.0,1.6,21.9
25722,1,29,25.038954,121.52233400000001,2016-04-02 08:44:16,12,仁愛林森路口,56,42,2016-04-02,08:44:16,5,0.0,74.0,1.6,21.9
25862,1,28,25.038954,121.52233400000001,2016-04-02 08:49:16,13,仁愛林森路口,56,42,2016-04-02,08:49:16,5,0.0,74.0,1.6,21.9
26006,1,27,25.038954,121.52233400000001,2016-04-02 08:54:16,14,仁愛林森路口,56,42,2016-04-02,08:54:16,5,0.0,74.0,1.6,21.9
26155,1,29,25.038954,121.52233400000001,2016-04-02 08:59:16,12,仁愛林森路口,56,42,2016-04-02,08:59:16,5,0.0,74.0,1.6,21.9
26283,1,27,25.038954,121.52233400000001,2016-04-02 09:04:16,14,仁愛林森路口,56,42,2016-04-02,09:04:16,5,0.0,67.0,0.3,24.4
26407,1,28,25.038954,121.52233400000001,2016-04-02 09:09:16,13,仁愛林森路口,56,42,2016-04-02,09:09:16,5,0.0,67.0,0.3,24.4
26528,1,29,25.038954,121.52233400000001,2016-04-02 09:14:16,12,仁愛林森路口,56,42,2016-04-02,09:14:16,5,0.0,67.0,0.3,24.4
26665,1,28,25.038954,121.52233400000001,2016-04-02 09:19:16,13,仁愛林森路口,56,42,2016-04-02,09:19:16,5,0.0,67.0,0.3,24.4
27065,1,25,25.038954,121.52233400000001,2016-04-02 09:34:15,16,仁愛林森路口,56,42,2016-04-02,09:34:15,5,0.0,67.0,0.3,24.4
27216,1,23,25.038954,121.52233400000001,2016-04-02 09:39:15,18,仁愛林森路口,56,42,2016-04-02,09:39:15,5,0.0,67.0,0.3,24.4
27345,1,24,25.038954,121.52233400000001,2016-04-02 09:44:15,17,仁愛林森路口,56,42,2016-04-02,09:44:15,5,0.0,67.0,0.3,24.4
27616,1,23,25.038954,121.52233400000001,2016-04-02 09:54:15,18,仁愛林森路口,56,42,2016-04-02,09:54:15,5,0.0,67.0,0.3,24.4
27758,1,24,25.038954,121.52233400000001,2016-04-02 09:59:16,17,仁愛林森路口,56,42,2016-04-02,09:59:16,5,0.0,67.0,0.3,24.4
27896,1,26,25.038954,121.52233400000001,2016-04-02 10:04:16,15,仁愛林森路口,56,42,2016-04-02,10:04:16,5,0.0,61.0,0.5,27.0
28036,1,27,25.038954,121.52233400000001,2016-04-02 10:09:16,14,仁愛林森路口,56,42,2016-04-02,10:09:16,5,0.0,61.0,0.5,27.0
28178,1,25,25.038954,121.52233400000001,2016-04-02 10:14:16,16,仁愛林森路口,56,42,2016-04-02,10:14:16,5,0.0,61.0,0.5,27.0
28326,1,26,25.038954,121.52233400000001,2016-04-02 10:19:15,15,仁愛林森路口,56,42,2016-04-02,10:19:15,5,0.0,61.0,0.5,27.0
28471,1,24,25.038954,121.52233400000001,2016-04-02 10:24:15,17,仁愛林森路口,56,42,2016-04-02,10:24:15,5,0.0,61.0,0.5,27.0
28876,1,22,25.038954,121.52233400000001,2016-04-02 10:39:16,19,仁愛林森路口,56,42,2016-04-02,10:39:16,5,0.0,61.0,0.5,27.0
29016,1,19,25.038954,121.52233400000001,2016-04-02 10:44:16,22,仁愛林森路口,56,42,2016-04-02,10:44:16,5,0.0,61.0,0.5,27.0
29159,1,18,25.038954,121.52233400000001,2016-04-02 10:49:16,23,仁愛林森路口,56,42,2016-04-02,10:49:16,5,0.0,61.0,0.5,27.0
29301,1,17,25.038954,121.52233400000001,2016-04-02 10:54:16,24,仁愛林森路口,56,42,2016-04-02,10:54:16,5,0.0,61.0,0.5,27.0
29438,1,20,25.038954,121.52233400000001,2016-04-02 10:59:15,21,仁愛林森路口,56,42,2016-04-02,10:59:15,5,0.0,61.0,0.5,27.0
29566,1,18,25.038954,121.52233400000001,2016-04-02 11:04:16,23,仁愛林森路口,56,42,2016-04-02,11:04:16,5,0.0,55.0,0.3,28.2
29832,1,16,25.038954,121.52233400000001,2016-04-02 11:14:16,25,仁愛林森路口,56,42,2016-04-02,11:14:16,5,0.0,55.0,0.3,28.2
29964,1,21,25.038954,121.52233400000001,2016-04-02 11:19:16,20,仁愛林森路口,56,42,2016-04-02,11:19:16,5,0.0,55.0,0.3,28.2
30102,1,23,25.038954,121.52233400000001,2016-04-02 11:24:15,18,仁愛林森路口,56,42,2016-04-02,11:24:15,5,0.0,55.0,0.3,28.2
30236,1,24,25.038954,121.52233400000001,2016-04-02 11:29:15,17,仁愛林森路口,56,42,2016-04-02,11:29:15,5,0.0,55.0,0.3,28.2
30369,1,25,25.038954,121.52233400000001,2016-04-02 11:34:15,16,仁愛林森路口,56,42,2016-04-02,11:34:15,5,0.0,55.0,0.3,28.2
30498,1,24,25.038954,121.52233400000001,2016-04-02 11:39:15,17,仁愛林森路口,56,42,2016-04-02,11:39:15,5,0.0,55.0,0.3,28.2
30658,1,27,25.038954,121.52233400000001,2016-04-02 11:44:15,14,仁愛林森路口,56,42,2016-04-02,11:44:15,5,0.0,55.0,0.3,28.2
30813,1,25,25.038954,121.52233400000001,2016-04-02 11:49:15,16,仁愛林森路口,56,42,2016-04-02,11:49:15,5,0.0,55.0,0.3,28.2
30946,1,27,25.038954,121.52233400000001,2016-04-02 11:54:15,14,仁愛林森路口,56,42,2016-04-02,11:54:15,5,0.0,55.0,0.3,28.2
31084,1,26,25.038954,121.52233400000001,2016-04-02 11:59:15,15,仁愛林森路口,56,42,2016-04-02,11:59:15,5,0.0,55.0,0.3,28.2
31237,1,27,25.038954,121.52233400000001,2016-04-02 12:04:16,14,仁愛林森路口,56,42,2016-04-02,12:04:16,5,0.0,51.0,1.1,29.9
31516,1,28,25.038954,121.52233400000001,2016-04-02 12:14:16,13,仁愛林森路口,56,42,2016-04-02,12:14:16,5,0.0,51.0,1.1,29.9
31653,1,27,25.038954,121.52233400000001,2016-04-02 12:19:16,14,仁愛林森路口,56,42,2016-04-02,12:19:16,5,0.0,51.0,1.1,29.9
31794,1,29,25.038954,121.52233400000001,2016-04-02 12:23:16,12,仁愛林森路口,56,42,2016-04-02,12:23:16,5,0.0,51.0,1.1,29.9
31932,1,30,25.038954,121.52233400000001,2016-04-02 12:29:16,11,仁愛林森路口,56,42,2016-04-02,12:29:16,5,0.0,51.0,1.1,29.9
32233,1,27,25.038954,121.52233400000001,2016-04-02 12:39:16,14,仁愛林森路口,56,42,2016-04-02,12:39:16,5,0.0,51.0,1.1,29.9
32378,1,28,25.038954,121.52233400000001,2016-04-02 12:44:16,13,仁愛林森路口,56,42,2016-04-02,12:44:16,5,0.0,51.0,1.1,29.9
32514,1,27,25.038954,121.52233400000001,2016-04-02 12:49:16,14,仁愛林森路口,56,42,2016-04-02,12:49:16,5,0.0,51.0,1.1,29.9
32657,1,29,25.038954,121.52233400000001,2016-04-02 12:54:15,12,仁愛林森路口,56,42,2016-04-02,12:54:15,5,0.0,51.0,1.1,29.9
32789,1,25,25.038954,121.52233400000001,2016-04-02 12:59:16,16,仁愛林森路口,56,42,2016-04-02,12:59:16,5,0.0,51.0,1.1,29.9
32923,1,22,25.038954,121.52233400000001,2016-04-02 13:04:16,19,仁愛林森路口,56,42,2016-04-02,13:04:16,5,0.0,47.0,0.3,30.2
33071,1,24,25.038954,121.52233400000001,2016-04-02 13:09:16,17,仁愛林森路口,56,42,2016-04-02,13:09:16,5,0.0,47.0,0.3,30.2
33220,1,25,25.038954,121.52233400000001,2016-04-02 13:14:16,16,仁愛林森路口,56,42,2016-04-02,13:14:16,5,0.0,47.0,0.3,30.2
